#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4612       0.1700       0.9087       0.7356       0.7319
       3       1.5756       0.1750       0.9325       0.7977       0.8401
       4       1.6056       0.1835       1.0236       0.7084       0.9259
       5       1.6297       0.1845       0.9663       0.8179       0.8043
       6       1.6331       0.1816       1.0018       0.8615       0.9049
       7       1.6269       0.2884       1.3791       0.6900       1.0023
       8       1.6636       0.2812       1.3660       0.9694       1.0841
       9       1.6938       0.2890       1.3617       0.8661       1.0470
      10       1.6647       0.2943       1.4030       0.9454       1.1740
      11       1.6303       0.2907       1.3008       0.7644       0.8798
      12       1.6051       0.4522       1.6123       0.7604       2.0942
      13       1.6160       0.5256       1.9258       0.4503       2.0796
      14       1.5674       0.5382       1.9973       1.0177       2.1428
      15       1.6058       0.5441       1.6257       0.8561       2.1347
      16       1.6482       0.5444       1.5751       0.6796       1.9642
      17       2.0135       0.7925       1.9853       0.8229       1.8762
      18       3.1618       0.6323       2.2158       0.9125       1.7528
      19       2.5531       0.8177       1.0362       0.9927       1.3228
      20       2.4871       0.8812       1.5731       0.7912       1.2278
      21       2.8038       0.7365       1.5341       0.8709       1.2311
      22       2.6628       0.7228       1.5638       0.7134       1.3909
      23       3.4979       0.8608       2.0195       0.7106       1.8557
      24       4.1188       0.7744       2.1871       0.6929       1.3943
      25       2.3795       0.8900       1.9906       0.8514       1.6691
      26       1.4914       0.6556       1.1873       0.7803       1.1492
      27       3.7632       0.7830       2.2920       0.4943       1.5635
      28       2.9854       0.8324       1.9519       0.6759       1.5252
      29       1.8152       0.7565       1.5350       0.4225       1.2018
      30       2.3492       0.7835       1.6841       0.5202       1.2905
      31       1.9477       0.7416       0.9273       1.2909       1.2259
      32       2.1659       0.7408       1.6850       0.9932       1.3177
      33       2.7530       0.8192       2.0212       0.7901       1.2549
      34       2.4858       0.9124       1.6169       1.1463       1.2908
      35       2.3476       0.9100       1.5909       1.0024       1.1249
      36       2.5231       0.8582       2.1338       0.7602       1.0109
      37       2.8915       0.8165       1.5009       0.7832       1.1593
      38       1.9836       0.8834       1.4872       0.7522       1.2781
      39       1.9921       0.8268       1.6063       0.6918       1.4866
      40       1.5412       0.8158       1.4897       0.8861       1.6218
      41       2.1901       0.8359       2.0097       0.5784       1.3482
      42       3.0333       0.8944       1.7495       0.7708       1.7041
      43       2.3648       0.8058       2.2600       0.7911       1.6823
      44       2.2315       0.7485       1.8947       0.7018       1.5165
      45       2.8916       0.8624       2.3481       0.7091       1.3086
      46       3.3192       0.7411       2.5371       0.6142       1.3877
      47       2.7871       0.7459       2.5952       0.7435       1.5957
      48       2.6527       0.7812       1.4436       0.8012       1.1184
